year,Anatomy,Biochemistry,Physiology,Pharmacology,Microbiology,Pathology,Community Medicine,Forensic Medicine,Ophthalmology,ENT,Medicine,Surgery,OBG,Pediatrics,Anaesthesia,Orthopedics,Radiology,Psychiatry,Dermatology
2010,15,13,14,30,14,22,22,8,6,7,48,23,25,17,4,6,9,10,4
2011,23,17,13,33,28,11,25,6,11,5,31,16,20,19,11,5,9,6,6
2012,164,210,113,84,122,107,149,90,91,2,87,60,99,78,40,67,30,44,27
2013,263,204,153,225,197,170,191,148,220,238,153,88,98,84,48,124,54,212,65
2014,252,191,141,227,260,202,192,98,123,74,219,77,136,91,37,78,63,70,71
2015,284,133,132,148,144,211,107,66,92,69,148,66,105,52,22,58,40,65,50
2016,289,182,106,193,183,181,133,51,94,72,202,73,161,88,20,74,62,47,57
2017,44,24,20,30,32,40,39,12,15,4,50,16,31,15,7,7,21,8,3
2018,98,71,69,76,74,87,62,37,40,21,131,40,87,53,13,37,31,26,14
2019,107,86,64,89,58,53,100,56,43,27,100,34,64,25,24,25,29,21,28
2020,80,42,63,51,62,67,58,20,28,15,131,46,67,28,5,27,21,14,18
2021,26,15,13,22,54,17,26,4,27,11,24,80,12,3,1,7,26,9,9
2022,29,36,21,58,48,53,28,31,18,29,95,46,79,49,5,17,8,4,17
2023,31,35,25,28,31,31,30,16,14,11,47,50,33,24,5,15,11,12,11
2024,157,80,75,37,57,78,49,55,34,50,105,54,48,23,6,45,28,22,16
2025,39,24,17,11,17,32,20,7,6,7,68,15,19,7,5,10,3,3,4
